"species","longitude","latitude","reference","GBIF ID","full reference","comment"
"Marmosa phaea",-69.01,0.12,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa phaea",-75.98,1.62,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa phaea",-76.48,1.95,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa phaea",-76.4,1.95,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa phaea",-76.87,2.48,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa phaea",-75.3,5.7,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa phaea",-75.75,6.45,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa phaea",-75.42,7.07,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
"Marmosa phaea",-67.68,10.37,"Voss et al. 2020",,"Voss, R. S., Giarla, T. C., Díaz-Nieto, J. F., & Jansa, S. A. (2020). A Revision of the Didelphid Marsupial Genus MarmosaPart 2. Species of the Rapposa Group (Subgenus Micoureus). Bulletin of the American Museum of Natural History, 439(1), 1. https://doi.org/10.1206/0003-0090.439.1.1",
